latitude,longitude,town,country
33.52193394,70.27610779,Khardand,Pakistan
33.52078905,70.25928497,Zarakai,Pakistan
-0.354098,42.545328,Kismayo,Somalia
33.01873964,69.65881348,Shawal,Pakistan
32.54710258,69.60456848,Shakai,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
33.03860068,69.53933716,Gurwak,Pakistan
33.03860068,69.53933716,Gurwak,Pakistan
32.83286589,69.66018677,Barmal,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
13.612304,46.106282,"Wadeea district, Mudiya",Yemen
13.612304,46.106282,,Yemen
32.95826549,70.24108887,Mir Ali,Pakistan
13.129616,45.381295,"Karadeef, Zinjibar",Yemen
13.612304,46.106282,Al Khamila,Yemen
32.30222379,69.40544128,Azam Warsak,Pakistan
32.98418805,70.07663727,Qutab Khel,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.29337255,69.49728012,Shin Warsak,Pakistan
32.98879572,70.32606125,Norak,Pakistan
32.98879572,70.32606125,Khaisoori,Pakistan
13.612304,46.106282,Arkoub,Yemen
32.98879572,70.32606125,,Pakistan
13.612304,46.106282,Mihfed,Yemen
32.953944,70.262883,Hisokhel,Pakistan
14.037484,46.768075,Al-Mahfad,Yemen
13.358082,45.698439,Shaqra,Yemen
32.96863543,70.35301208,Khushali,Pakistan
-0.354098,42.545328,Kismayo,Somalia
32.30222379,69.40544128,Azam Warsak,Pakistan
32.30280417,69.32510376,Baghar,Pakistan
16.565146,45.538211,,Yemen
-0.117925,42.326611,,Somalia
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.4784877,69.27841187,Zeba Pahar,Pakistan
14.33936309,47.44163168,Azan,Yemen
33.020179,70.07286072,Danda Darpakhel,Pakistan
14.323499,47.453653,Azan,Yemen
13.612304,46.106282,,Yemen
14.33936309,47.44163168,Azan,Yemen
32.48659683,69.28321838,Angor Adda,Pakistan
32.327033,69.596401,Baghar Chinah,Pakistan
-0.354098,42.545328,Afmadow,Somalia
32.664167,70.218333,Bobar,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.953944,70.262883,Hisokhel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.98879572,70.32606125,Norak,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
13.612304,46.106282,Rumeila,Yemen
2.140976,45.118861,Afgoye,Somalia
33.0020414,70.06084442,Miranshah,Pakistan
32.620038,69.976425,Babar Ghar,Pakistan
33.01873964,69.65881348,Shawal,Pakistan
13.129616,45.381295,Zinjibar,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
2.084754,45.210714,Elasha Biyaha,Somalia
32.96863543,69.70207214,Deegan,Pakistan
13.880199,45.86811,Lawdar/Modya,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
2.192222,42.874722,60km south of Mogadishu,Somalia
32.321955,69.864395,Shaktoi Mandao,Pakistan
32.321955,69.864395,Nishpa,Pakistan
14.099622,45.432054,,Yemen
13.129616,45.381295,Jaar and Zinjibar,Yemen
13.219465,45.310246,Jebel Khanfar,Yemen
14.099622,45.432054,,Yemen
32.82103747,69.97999191,Drey Nishtar,Pakistan
32.7026315,69.9816857,Shawa,Pakistan
13.129616,45.381295,Zinjibar,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
14.33936309,47.44163168,Azan,Yemen
13.612304,46.106282,,Yemen
14.653544,47.009442,,Yemen
13.085664,45.361154,Al Kawd,Yemen
14.653544,47.009442,,Yemen
13.880199,45.86811,Lawder,Yemen
14.099622,45.432054,al Zahir district,Yemen
14.33936309,47.44163168,Azzan,Yemen
13.880199,45.86811,Lawder,Yemen
15.460938,45.321382,Al-Samdah,Yemen
14.653544,47.009442,Nasab,Yemen
13.612304,46.106282,Mudiyah,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
16.565146,45.538211,,Yemen
13.880199,45.86811,Lawder,Yemen
13.129616,45.381295,Zinjibar,Yemen
13.218055,45.307832,Jaar,Yemen
33.01873964,69.65881348,Shawal,Pakistan
14.653544,47.009442,Wadi Rafad,Yemen
13.218055,45.307832,Jaar,Yemen
13.358082,45.698439,"Shaqra, near Zinjibar",Yemen
15.460938,45.321382,Al-Hosoon village,Yemen
14.653544,47.009442,Hareeb,Yemen
12.97214906,44.95211601,"Al-Aeen, near Aden",Yemen
13.218055,45.307832,Jaar,Yemen
16.539117,49.149095,Shibam,Yemen
14.099622,45.432054,,Yemen
33.17721515,70.43678284,Datta Khel Kalai,Pakistan
32.96201033,70.33344269,Khassokhel near Mir Ali,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
14.099622,45.432054,Manaseh,Yemen
14.533333,49.133333,Al Mukalla,Yemen
32.96201033,70.33344269,Khassokhel near Mir Ali,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
14.037192,46.768718,Al-Mahfad,Yemen
32.309551,69.572983,"Khawashi Khel, near Wana",Pakistan
32.98879572,70.28743744,"Mana Raghzai, near Wana",Pakistan
32.98462003,70.37618637,"Hesokhel, near Mir Ali",Pakistan
14.33936309,47.44163168,Azzan,Yemen
14.33936309,47.44163168,Azzan,Yemen
32.98764382,69.62619781,"Isha, near Miranshah",Pakistan
14.33936309,47.44163168,Azzan,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
13.358082,45.698439,Shaqra,Yemen
14.036984,46.769534,Al Mahfad,Yemen
12.96889753,44.94736314,,Yemen
33.01873964,69.65881348,Shawal,Pakistan
32.82103747,69.97999191,Dre Nishter/Shawal,Pakistan
14.79368,45.719776,Bayhan,Yemen
14.037692,46.768976,Al Mahfad,Yemen
33.151242,70.434707,Datta Khel,Pakistan
32.82103747,69.97999191,Dre Nishter/Shawal,Pakistan
32.9387751,70.2482734,Kushhali Turkhel,Pakistan
16.539117,49.149095,Al Qatn,Yemen
14.099622,45.432054,Rada'a city,Yemen
16.539117,49.149095,Al Qatn,Yemen
32.98879572,70.28743744,"Mammon Narai, Shuweda",Pakistan
32.98879572,70.28743744,"Mana, Shawal",Pakistan
32.98879572,70.28743744,"Mana, Shawal",Pakistan
32.99052353,70.30460358,"Shnakhura, Datta Khel",Pakistan
32.99628265,69.65615273,"Makai/Maki Ghar, Shawal",Pakistan
33.10937315,70.06702423,"Dara, Shawal",Pakistan
32.82103747,69.97999191,"Dre Nishter, Shawal",Pakistan
16.539117,49.149095,Qahb al-Hisan,Yemen
16.539117,49.149095,"Khashamir village, Al Qatn district",Yemen
16.539117,49.149095,Hawra,Yemen
32.96863543,69.70207214,Degan,Pakistan
14.099622,45.432054,Radaa,Yemen
16.539117,49.149095,Al Ain village,Yemen
14.410844,44.840248,"Qaifa, near Radaa",Yemen
16.539117,49.149095,Al Ain village,Yemen
14.036693,46.76992,Al Mahfad,Yemen
32.99714649,69.72644806,Mohammed Khel/Datta Khel,Pakistan
32.97857214,70.28657913,Khaderkail/Mir Ali,Pakistan
32.97093969,70.40039063,Khadar Khel,Pakistan
14.653544,47.009442,Al-Saeed,Yemen
32.9684554,70.25271893,Hurmuz/Mir Ali,Pakistan
33.02133047,69.82566833,Buland Khel,Pakistan
